;Single acting cylinder;Single acting cylinder;Pressure at Rod end;Pressure at cap end
;PIston ;PIston ;Pressure at rod end ;Pressure at Cap end
t;x;v;p;p
[s];[mm];[m/s];[bar];[bar]
1.00;300.00000;0.00000;0.00000;0.00000
2.00;300.00000;0.00000;0.00000;0.00000
2.01;299.93392;-0.01619;0.99922;16.38653
2.02;299.59953;-0.04877;5.12629;27.38968
2.03;298.95822;-0.09073;14.92653;27.31483
2.04;297.96024;-0.09903;27.83653;20.33572
2.05;296.95715;-0.09807;37.89183;22.53449
2.06;296.00125;-0.09903;45.52477;33.12762
2.07;294.98829;-0.10522;49.58430;39.89164
2.08;293.88405;-0.11544;53.15640;37.87541
2.09;292.74102;-0.11219;56.72350;34.16012
2.10;291.65585;-0.10594;58.11487;35.34186
2.11;290.62458;-0.10145;58.93670;40.47706
2.12;289.57180;-0.10682;59.93894;42.25263
2.13;288.49099;-0.11076;61.37939;41.88145
2.14;287.38015;-0.10952;63.10356;39.63990
2.15;286.30915;-0.10579;63.68131;40.68638
2.16;285.25665;-0.10493;63.83420;42.70006
2.17;284.20491;-0.10706;63.99468;44.31560
2.18;283.11852;-0.10854;64.79207;43.24651
2.19;282.03433;-0.10827;65.43004;42.52438
2.20;280.95970;-0.10619;65.73073;42.70733
2.21;279.90046;-0.10608;65.69786;43.75492
2.22;278.83773;-0.10694;65.75099;44.39623
2.23;277.76226;-0.10814;66.06977;44.01217
2.24;276.68319;-0.10755;66.36996;43.55071
2.25;275.61149;-0.10683;66.48036;43.63317
2.26;274.54646;-0.10631;66.43177;44.16912
2.27;273.47869;-0.10697;66.46783;44.34561
2.28;272.40733;-0.10748;66.57215;44.27292
2.29;271.33182;-0.10739;66.73674;43.95992
2.30;270.26087;-0.10692;66.77196;44.01266
2.31;269.19273;-0.10675;66.74826;44.22413
2.32;268.12526;-0.10695;66.71857;44.43670
2.33;267.05334;-0.10721;66.78637;44.32176
2.34;265.98113;-0.10727;66.84895;44.21020
2.35;264.90946;-0.10701;66.88444;44.16585
2.36;263.84040;-0.10689;66.86269;44.28182
2.37;262.77133;-0.10696;66.84500;44.38042
2.38;261.70094;-0.10711;66.86152;44.37020
2.39;260.62919;-0.10717;66.89940;44.28721
2.40;259.55819;-0.10705;66.91547;44.26326
2.41;258.48804;-0.10697;66.90938;44.30033
2.42;257.41836;-0.10698;66.89822;44.34922
2.43;256.34820;-0.10707;66.89868;44.36319
2.44;255.27717;-0.10712;66.91738;44.32194
2.45;254.20630;-0.10707;66.92790;44.30043
2.46;253.13594;-0.10700;66.92582;44.31296
2.47;252.06596;-0.10700;66.91615;44.34631
2.48;250.99564;-0.10705;66.91694;44.34997
2.49;249.92507;-0.10709;66.92240;44.33981
2.50;248.85428;-0.10707;66.93119;44.31909
2.51;247.78385;-0.10703;66.93035;44.32354
2.52;246.71357;-0.10702;66.92642;44.33632
2.53;245.64334;-0.10704;66.92275;44.34856
2.54;244.57281;-0.10706;66.92626;44.34120
2.55;243.50224;-0.10706;66.92989;44.33292
2.56;242.43167;-0.10704;66.93244;44.32696
2.57;241.36133;-0.10703;66.92980;44.33453
2.58;240.29099;-0.10703;66.92757;44.34113
2.59;239.22058;-0.10705;66.92759;44.34202
2.60;238.15006;-0.10706;66.92994;44.33658
2.61;237.07955;-0.10705;66.93135;44.33326
2.62;236.00910;-0.10704;66.93119;44.33377
2.63;234.93873;-0.10704;66.92962;44.33800
2.64;233.86832;-0.10704;66.92900;44.33990
2.65;232.79786;-0.10705;66.92979;44.33832
2.66;231.72738;-0.10705;66.93082;44.33587
2.67;230.65691;-0.10704;66.93120;44.33493
2.68;229.58649;-0.10704;66.93045;44.33677
2.69;228.51608;-0.10704;66.92983;44.33844
2.70;227.44564;-0.10705;66.92990;44.33844
2.71;226.37518;-0.10704;66.93054;44.33701
2.72;225.30472;-0.10704;66.93084;44.33627
2.73;224.23428;-0.10704;66.93078;44.33639
2.74;223.16385;-0.10704;66.93026;44.33762
2.75;222.09342;-0.10704;66.93012;44.33804
2.76;221.02297;-0.10704;66.93033;44.33762
2.77;219.95251;-0.10704;66.93071;44.33676
2.78;218.88207;-0.10704;66.93071;44.33673
2.79;217.81163;-0.10704;66.93056;44.33705
2.80;216.74120;-0.10704;66.93030;44.33765
2.81;215.67076;-0.10705;66.93031;44.33758
2.82;214.60031;-0.10705;66.93051;44.33726
2.83;213.52986;-0.10704;66.93065;44.33688
2.84;212.45942;-0.10704;66.93062;44.33702
2.85;211.38898;-0.10704;66.93047;44.33727
2.86;210.31854;-0.10704;66.93041;44.33752
2.87;209.24810;-0.10704;66.93044;44.33736
2.88;208.17765;-0.10705;66.93055;44.33717
2.89;207.10720;-0.10705;66.93061;44.33704
2.90;206.03676;-0.10704;66.93054;44.33716
2.91;204.96632;-0.10704;66.93046;44.33734
2.92;203.89588;-0.10704;66.93044;44.33735
2.93;202.82544;-0.10704;66.93050;44.33729
2.94;201.75499;-0.10704;66.93056;44.33716
2.95;200.68455;-0.10704;66.93056;44.33716
2.96;199.61411;-0.10704;66.93052;44.33723
2.97;198.54367;-0.10704;66.93047;44.33730
2.98;197.47322;-0.10704;66.93048;44.33732
2.99;196.40278;-0.10704;66.93052;44.33725
3.00;195.33234;-0.10704;66.93055;44.33718
3.01;194.26189;-0.10704;66.93054;44.33719
3.02;193.19145;-0.10704;66.93051;44.33725
3.03;192.12101;-0.10704;66.93049;44.33730
3.04;191.05057;-0.10704;66.93049;44.33729
3.05;189.98012;-0.10704;66.93052;44.33724
3.06;188.90968;-0.10704;66.93054;44.33720
3.07;187.83924;-0.10704;66.93053;44.33721
3.08;186.76879;-0.10704;66.93051;44.33725
3.09;185.69835;-0.10704;66.93049;44.33729
3.10;184.62791;-0.10704;66.93050;44.33728
3.11;183.55747;-0.10704;66.93052;44.33724
3.12;182.48702;-0.10704;66.93053;44.33721
3.13;181.41658;-0.10704;66.93052;44.33722
3.14;180.34614;-0.10704;66.93051;44.33725
3.15;179.27570;-0.10704;66.93050;44.33727
3.16;178.20525;-0.10704;66.93051;44.33726
3.17;177.13481;-0.10704;66.93052;44.33724
3.18;176.06437;-0.10704;66.93053;44.33722
3.19;174.99392;-0.10704;66.93052;44.33724
3.20;173.92348;-0.10704;66.93051;44.33725
3.21;172.85304;-0.10704;66.93051;44.33726
3.22;171.78260;-0.10704;66.93051;44.33726
3.23;170.71215;-0.10704;66.93052;44.33724
3.24;169.64171;-0.10704;66.93052;44.33723
3.25;168.57127;-0.10704;66.93052;44.33723
3.26;167.50082;-0.10704;66.93052;44.33724
3.27;166.43038;-0.10704;66.93051;44.33726
3.28;165.35994;-0.10704;66.93051;44.33726
3.29;164.28950;-0.10704;66.93051;44.33725
3.30;163.21905;-0.10704;66.93052;44.33724
3.31;162.14861;-0.10704;66.93052;44.33723
3.32;161.07817;-0.10704;66.93052;44.33723
3.33;160.00772;-0.10704;66.93051;44.33725
3.34;158.93728;-0.10704;66.93051;44.33726
3.35;157.86684;-0.10704;66.93051;44.33726
3.36;156.79640;-0.10704;66.93051;44.33725
3.37;155.72595;-0.10704;66.93052;44.33724
3.38;154.65551;-0.10704;66.93052;44.33724
3.39;153.58507;-0.10704;66.93052;44.33724
3.40;152.51463;-0.10704;66.93051;44.33725
3.41;151.44418;-0.10704;66.93051;44.33725
3.42;150.37374;-0.10704;66.93051;44.33725
3.42;150.37374;-0.00000;0.00000;0.00000
3.43;150.36434;-0.00200;0.05425;2.05262
3.44;150.32282;-0.00582;0.31064;3.21867
3.45;150.25015;-0.01043;0.77093;2.92434
3.46;150.12453;-0.01291;1.37339;2.28187
3.47;149.99264;-0.01348;1.74280;0.96786
3.48;149.87533;-0.01103;1.44972;0.06166
3.49;149.76633;-0.00853;1.09368;-0.33520
3.50;149.69459;-0.00752;0.78876;0.22882
3.51;149.62785;-0.00684;0.54377;0.93713
3.52;149.55642;-0.00747;0.54130;1.65008
3.53;149.47706;-0.00909;0.73454;1.75340
3.54;149.37639;-0.01024;0.97608;1.60097
3.55;149.27205;-0.01068;1.12770;1.11734
3.56;149.16571;-0.01021;1.14039;0.70799
3.57;149.07016;-0.00923;0.98869;0.54120
3.58;148.98119;-0.00838;0.82195;0.59824
3.59;148.89967;-0.00799;0.70598;0.88888
3.60;148.81812;-0.00833;0.71719;1.13943
3.61;148.73213;-0.00884;0.77947;1.30066
3.62;148.64178;-0.00943;0.87764;1.24391
3.63;148.54551;-0.00961;0.94013;1.10793
3.64;148.44933;-0.00958;0.96519;0.92550
3.65;148.35480;-0.00924;0.92789;0.83983
3.66;148.26450;-0.00890;0.86563;0.84132
3.67;148.17654;-0.00872;0.81967;0.91636
3.68;148.08970;-0.00871;0.79737;1.02022
3.69;148.00125;-0.00891;0.82154;1.09506
3.70;147.91125;-0.00911;0.85272;1.10776
3.71;147.81932;-0.00927;0.88714;1.05921
3.72;147.72658;-0.00928;0.89710;0.99799
3.73;147.63423;-0.00918;0.89228;0.94243
3.74;147.54304;-0.00904;0.87088;0.93899
3.75;147.45337;-0.00895;0.85071;0.95668
3.76;147.36399;-0.00892;0.84096;0.99636
3.77;147.27467;-0.00897;0.84128;1.02575
3.78;147.18434;-0.00906;0.85423;1.04023
3.79;147.09356;-0.00912;0.86674;1.03076
3.80;147.00219;-0.00915;0.87526;1.00630
3.81;146.91089;-0.00912;0.87426;0.98677
3.82;146.81998;-0.00907;0.86811;0.97398
3.83;146.72945;-0.00902;0.85960;0.98114
3.84;146.63935;-0.00900;0.85500;0.99253
3.85;146.54921;-0.00902;0.85389;1.00696
3.86;146.45893;-0.00905;0.85708;1.01356
3.87;146.36829;-0.00908;0.86193;1.01237
3.88;146.27749;-0.00909;0.86584;1.00558
3.89;146.18660;-0.00909;0.86711;0.99717
3.90;146.09586;-0.00907;0.86496;0.99186
3.91;146.00526;-0.00905;0.86225;0.99108
3.92;145.91479;-0.00904;0.85943;0.99536
3.93;145.82439;-0.00904;0.85894;1.00044
3.94;145.73394;-0.00905;0.85944;1.00458
3.95;145.64340;-0.00906;0.86123;1.00471
3.96;145.55275;-0.00907;0.86282;1.00290
3.97;145.46206;-0.00907;0.86353;0.99967
3.98;145.37138;-0.00907;0.86339;0.99744
3.99;145.28079;-0.00906;0.86229;0.99639
4.00;145.19023;-0.00905;0.86132;0.99733
4.01;145.09971;-0.00905;0.86064;0.99926
4.02;145.00919;-0.00905;0.86081;1.00084
4.03;144.91864;-0.00906;0.86129;1.00177
4.04;144.82805;-0.00906;0.86199;1.00113
4.05;144.73743;-0.00906;0.86235;1.00017
4.06;144.64681;-0.00906;0.86239;0.99901
4.07;144.55621;-0.00906;0.86213;0.99857
4.08;144.46563;-0.00906;0.86173;0.99861
4.09;144.37507;-0.00905;0.86143;0.99923
4.10;144.28451;-0.00905;0.86135;0.99991
4.11;144.19395;-0.00906;0.86151;1.00029
4.12;144.10337;-0.00906;0.86174;1.00037
4.13;144.01278;-0.00906;0.86196;0.99999
4.14;143.92218;-0.00906;0.86200;0.99959
4.15;143.83159;-0.00906;0.86195;0.99927
4.16;143.74101;-0.00906;0.86180;0.99925
4.17;143.65043;-0.00906;0.86168;0.99941
